Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2013,Kentucky,7.7317073170731705,5.7317073170731705,21.682926829268293,25.28048780487805,15.106707317073171
2013,Louisiana,2.977777777777778,3.022222222222222,33.53611111111111,19.869444444444444,14.851388888888888
2013,Maine,1.6072874493927125,2.8927125506072873,28.402834008097166,8.838056680161943,10.435222672064777
2013,Maryland,3.1751824817518246,3.4642335766423358,34.36934306569343,19.040875912408758,15.012408759124087
2013,Massachusetts,2.5112994350282487,4.194915254237288,25.33050847457627,28.124293785310734,15.040254237288135
2013,Missouri,11.988372093023257,3.854651162790698,32.0406976744186,21.848837209302324,17.433139534883722
2013,Nevada,1.2028985507246377,4.889855072463768,39.86376811594203,28.597101449275364,18.63840579710145
2013,New Jersey,2.1650485436893203,4.26490984743412,30.123439667128988,26.932038834951456,15.87135922330097
2013,New Mexico,1.1396648044692737,3.368715083798883,44.902234636871505,23.022346368715084,18.10824022346369
2013,New York,5.169209431345354,4.633841886269071,31.918169209431344,30.091539528432733,17.953190013869627
